                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.42726,                0.33106,                0.84968,                0.90579,                0.87443,                0.93067,                 0.8575,                0.39291,                0.40607,                0.84785,             0.00046226,             0.00046226,             0.00046226
                     75,                0.43104,                0.33309,                0.85181,                0.90587,                0.86891,                0.92889,                0.85609,                0.39463,                0.41596,                0.84794,             0.00044576,             0.00044576,             0.00044576
                     76,                0.43252,                0.32872,                 0.8516,                0.89111,                0.88228,                0.93268,                0.86034,                0.39243,                0.40881,                0.84507,             0.00042925,             0.00042925,             0.00042925
                     77,                0.42945,                0.32516,                 0.8505,                0.90588,                0.87448,                0.93385,                0.86394,                0.39302,                0.41141,                0.84892,             0.00041275,             0.00041275,             0.00041275
                     78,                0.42742,                0.32262,                0.85186,                0.89249,                0.89105,                0.93777,                0.86673,                0.39173,                0.40035,                0.84439,             0.00039625,             0.00039625,             0.00039625
                     79,                0.42111,                0.31953,                0.84601,                0.91144,                0.87798,                0.93587,                0.86549,                0.39131,                0.40135,                0.84553,             0.00037974,             0.00037974,             0.00037974
                     80,                0.42366,                 0.3187,                0.84975,                0.88785,                0.88909,                0.93173,                0.86044,                0.39291,                0.41186,                 0.8483,             0.00036324,             0.00036324,             0.00036324
                     81,                0.41735,                0.31049,                0.84928,                0.90324,                0.87715,                  0.932,                0.86215,                0.39279,                0.41597,                0.85142,             0.00034674,             0.00034674,             0.00034674
                     82,                0.42001,                0.31294,                0.85133,                 0.9031,                0.87664,                0.93222,                0.85863,                0.39604,                0.41625,                0.85375,             0.00033023,             0.00033023,             0.00033023
                     83,                0.41451,                0.30811,                0.84807,                0.89029,                0.89377,                 0.9323,                0.86013,                0.39606,                0.41228,                0.86028,             0.00031373,             0.00031373,             0.00031373
                     84,                0.41786,                0.30549,                0.84823,                0.90727,                0.87492,                0.93358,                0.86163,                0.39509,                0.41203,                 0.8554,             0.00029723,             0.00029723,             0.00029723
                     85,                0.41556,                 0.3071,                0.84589,                0.90688,                0.87571,                 0.9304,                0.85799,                0.39263,                0.41409,                0.84714,             0.00028072,             0.00028072,             0.00028072
                     86,                0.41814,                0.30855,                0.84681,                0.89021,                0.89274,                0.93103,                0.86086,                0.39234,                0.41046,                 0.8506,             0.00026422,             0.00026422,             0.00026422
                     87,                0.41715,                 0.3015,                0.84655,                 0.9112,                0.87429,                0.93008,                0.86022,                0.39335,                0.40751,                 0.8495,             0.00024772,             0.00024772,             0.00024772
                     88,                0.41269,                0.29746,                0.84588,                0.89803,                0.88904,                0.93185,                0.86166,                0.39032,                0.40955,                 0.8488,             0.00023121,             0.00023121,             0.00023121
                     89,                0.41417,                0.30042,                0.84588,                 0.9072,                0.87868,                0.93017,                0.86069,                0.38958,                 0.4085,                0.84669,             0.00021471,             0.00021471,             0.00021471
                     90,                0.40936,                0.29273,                 0.8447,                0.91918,                0.86747,                0.93018,                0.86011,                0.38975,                0.41334,                0.84438,             0.00019821,             0.00019821,             0.00019821
                     91,                0.37446,                0.24781,                0.81595,                 0.9126,                0.86819,                0.92602,                0.85448,                0.39212,                0.41929,                  0.847,              0.0001817,              0.0001817,              0.0001817
                     92,                0.36858,                0.23271,                0.81629,                0.90271,                0.87777,                0.92763,                 0.8589,                0.39217,                0.42394,                0.84753,              0.0001652,              0.0001652,              0.0001652
                     93,                0.36474,                0.22618,                0.81465,                0.89846,                0.88721,                0.92853,                0.86121,                0.38907,                0.42079,                0.84615,              0.0001487,              0.0001487,              0.0001487
                     94,                0.36197,                0.22288,                0.81096,                0.89911,                0.88525,                0.92848,                0.86094,                0.38948,                0.42314,                0.84552,             0.00013219,             0.00013219,             0.00013219
                     95,                0.36154,                0.22418,                0.81342,                0.89327,                0.88757,                0.92905,                0.86226,                 0.3908,                0.42177,                0.84513,             0.00011569,             0.00011569,             0.00011569
                     96,                0.36355,                0.21978,                0.81555,                0.89453,                0.89183,                0.92994,                0.86237,                0.38863,                0.41902,                  0.847,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.35665,                0.21765,                0.81442,                0.89502,                0.88821,                 0.9298,                  0.864,                0.38846,                0.42674,                0.84633,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.35517,                 0.2135,                0.81292,                0.89842,                0.88604,                0.92785,                0.86241,                0.38842,                0.42838,                0.84588,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.35298,                0.20968,                0.80973,                0.90075,                 0.8889,                0.92933,                0.86225,                0.38937,                0.42706,                0.84735,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.35346,                 0.2104,                0.80941,                0.90311,                0.88525,                0.92934,                0.86302,                0.38862,                0.42644,                0.84716,             3.3173e-05,             3.3173e-05,             3.3173e-05
